Bigrams:
שז	0,010948
ףÿ	0,006500
זף	0,011632
שן	0,005132
ךך	0,002737
פר	0,004105
קפ	0,005132
בז	0,011974
המ	0,015737
צן	0,004105
‏ה	0,006158
יס	0,004447
גז	0,007527
ב‎	0,001711
הף	0,002395
‎û	0,005132
י‎	0,003079
הצ	0,001711
למ	0,009237
הן	0,000684
לף	0,008553
נח	0,004790
פב	0,000684
נÿ	0,005816
צך	0,001368
לה	0,001368
ûי	0,004447
סר	0,005132
עצ	0,008211
לט	0,001711
זב	0,000684
טן	0,005474
דפ	0,003421
בח	0,004790
קר	0,000684
מץ	0,001711
הג	0,004105
חב	0,004447
ץח	0,005132
םמ	0,008553
שך	0,010606
ÿמ	0,007527
‎מ	0,000684
‏‎	0,001026
‏ח	0,002053
םû	0,002737
ונ	0,001711
עח	0,007184
טכ	0,002395
מצ	0,007869
בק	0,007869
ןמ	0,009921
כפ	0,001026
ל‎	0,001026
יך	0,011290
רי	0,008895
סי	0,003421
נ‎	0,006500
קמ	0,001368
חû	0,001368
זה	0,004790
üל	0,004105
יר	0,006158
מע	0,001026
üמ	0,006842
‏י	0,001026
סש	0,002737
חמ	0,015395
ףף	0,005474
רס	0,004105
ûמ	0,002737
סÿ	0,003763
פמ	0,005816
ור	0,022922
ûו	0,000684
גה	0,006500
טû	0,008211
ûÿ	0,003421
רצ	0,001026
נב	0,001026
דÿ	0,003763
םÿ	0,000342
לח	0,004447
ךה	0,000342
לû	0,004790
אי	0,007184
אמ	0,005474
וח	0,007184
ךז	0,002737
צק	0,001026
זר	0,010948
שמ	0,003079
ÿח	0,004105
פû	0,001026
גמ	0,002737
םצ	0,000684
וû	0,016764
נא	0,003079
יץ	0,001026
קל	0,003421
ûג	0,001711
ג‎	0,000342
נפ	0,005474
לÿ	0,007184
מÿ	0,000684
יû	0,001368
גש	0,000342
מש	0,002053
כח	0,004447
רÿ	0,016079
כג	0,007184
‏ן	0,011290
זח	0,007527
